member_casual,route,tot_trips
casual,CHI01747-CHI01747,7610
casual,CHI00374-CHI00374,4532
casual,CHI00374-CHI01747,3916
casual,CHI00252-CHI00252,3183
casual,CHI01747-CHI00374,2123
casual,CHI01742-CHI01742,1957
casual,CHI00531-CHI00531,1779
casual,CHI01747-CHI00525,1711
casual,CHI01747-CHI01742,1564
casual,CHI01747-CHI00420,1560
casual,13300-13300,1526
casual,CHI00531-CHI01747,1485
casual,CHI00533-CHI01747,1465
casual,CHI01747-CHI00252,1454
casual,CHI00533-CHI00374,1435
member,CHI00765-CHI00583,1997
member,CHI00583-CHI00765,1958
member,KA1503000071-KA1503000014,1870
member,KA1503000014-KA1503000071,1800
member,KA1503000014-KA1504000076,1405
member,KA1504000076-KA1503000014,1339
member,CHI00551-CHI00765,1229
member,CHI00765-CHI00551,1226
member,22004-KA1503000071,928
member,CHI00583-CHI00490,911
member,KA1503000071-22004,902
member,CHI00551-CHI00490,874
member,CHI00490-CHI00583,850
member,13217-13216,801
member,CHI00490-CHI00551,772
